"ID" "order" "style" "para" "spp" "time" "mtOXPHOS" "nucOXPHOS" "nucMTrRNAprotein" "nucMTGO" "nucMTcor" "nucCytosolicrRNAprotein" "nucControlSingle" "nucControl" "mtOXPHOS_rate" "nucOXPHOS_rate" "nucMTrRNAprotein_rate" "nucMTGO_rate" "nucMTcor_rate" "nucCytosolicrRNAprotein_rate" "nucControlSingle_rate" "nucControl_rate" "mtOXPHOS_rateControlSingle" "nucOXPHOS_rateControlSingle" "nucMTrRNAprotein_rateControlSingle" "nucMTGO_rateControlSingle" "nucMTcor_rateControlSingle" "nucCytosolicrRNAprotein_rateControlSingle" "nucControlSingle_rateControlSingle" "nucControl_rateControlSingle" "mtOXPHOS_rateControl" "nucOXPHOS_rateControl" "nucMTrRNAprotein_rateControl" "nucMTGO_rateControl" "nucCytosolicrRNAprotein_rateControl" "nucControlSingle_rateControl" "nucControlRandom_rateControl" "hd"
"1" 63 "Diptera" "Diploids" NA "AAEGY" 83.961536 0.0172847248697846 0.0547524771268265 0.0607668635223235 0.0851649357852773 0.0672666421583542 0.0445717327775306 0.050792033450838 0.0706322131211915 0.000205864800636622 0.000652113809909653 0.000723746448877775 0.00101433275095488 0.000801160214105114 0.000530858949239931 0.000604944071662029 0.000841244890055269 0.340303856637569 1.07797371766621 1.19638572023584 1.67673806302142 1.32435418683251 0.877533930998685 1 1.3906159750339 0.244714473835434 0.775177142373857 0.860327899085635 1.20575205025999 0.631039731135905 0.719105790493758 1 "D"
"2" 65 "Diptera" "Diploids" NA "AALBI" 88.441279 0.0155450666803847 0.0564307656227329 0.0640586926758993 0.0742616990262135 0.052856525745954 0.0620128035759317 0.0637342686643743 0.0823281176374608 0.000175767094914861 0.000638059130993944 0.000724307624224875 0.000839672377716445 0.000597645424665941 0.000701174884365158 0.000720639382254686 0.000930878867519101 0.24390437053958 0.885406968736054 1.00509026020575 1.16517692259523 0.829326622139454 0.972989960903013 1 1.29174021076482 0.188818439270515 0.685437335895748 0.778090092597373 0.902021097497109 0.753239662893917 0.77414947035512 1 "D"
"3" 39 "Hymenoptera" "Hymenoptera" "eusociality" "ACEPH" 9.937519 0.11171589070191 0.0480209582544204 0.0382439291105733 0.039110657479586 0.0232427835989003 0.00163257739710948 0.0144870766701195 0.0271721077230357 0.0112418291428585 0.00483228844688703 0.00384843833864099 0.00393565612096802 0.00233889199093861 0.000164284203844992 0.00145781624871555 0.00273429492039569 7.71141709578517 3.31474453734801 2.6398651695862 2.69969286213927 1.60438051983531 0.112691982950347 1 1.87561012768572 4.11141792313743 1.76728867498599 1.40747009766015 1.43936782079033 0.0600828398646981 0.53315984235694 1 "HD"
"4" 40 "Hymenoptera" "Hymenoptera" "eusociality" "AECHI" 9.937519 0.156777072653946 0.0557370890090895 0.0411425513829193 0.0406534414265078 0.0139957063132173 0.0301211619187263 0.0105292269643548 0.0228615094719168 0.0157762790344296 0.0056087529502172 0.00414012304106481 0.0040909045232022 0.00140837026960324 0.0030310545236418 0.0010595428259664 0.00230052485654788 14.8897039815641 5.29355946051685 3.90746172745649 3.8610091286031 1.32922448728646 2.86071921715594 1 2.17124291738712 6.85768684025575 2.43803188400824 1.79964282032466 1.77824834691894 1.31754913015378 0.460565693498452 1 "HD"
"5" 47 "Hymenoptera" "Hymenoptera" "pollinator/eusociality" "AFLOR" 8.103582 0.0748605096255171 0.0294890361036659 0.0429366394375312 0.0444784178320882 0.0169964405797146 0.00801172208062902 0.010736445912562 0.0226068937164576 0.00923795299726925 0.00363901248900374 0.00529847657955842 0.00548873545452964 0.00209739848127835 0.000988664282119811 0.00132490124892449 0.002789740847499 6.97255965662974 2.74662922384425 3.99914830170139 4.14275060800585 1.58306023409741 0.746217337271269 1 2.10562172068569 3.31140184779209 1.30442671485637 1.89927196438641 1.96747144432799 0.354392875956972 0.474919113046742 1 "HD"
"6" 67 "Diptera" "Diploids" NA "AFUNE" 39.856741 0.0160355981972193 0.0370782994957528 0.0335813848813662 0.0583745176061859 0.0366121497491134 0.0362866166578729 0.031940786238856 0.043337584834533 0.000402330892965366 0.000930289295247517 0.000842552201680669 0.00146460839851873 0.000918593663970504 0.000910426084708554 0.000801389813553898 0.00108733387997109 0.502041436215868 1.16084492155196 1.05136375260902 1.82758549428483 1.14625073645102 1.13605896819566 1 1.35681020844167 0.370015963244023 0.855569124059895 0.77487901113048 1.34697209890826 0.837301312392434 0.737022756593588 1 "D"
"7" 66 "Diptera" "Diploids" NA "AGAMB" 39.856741 0.00506215358969285 0.0353565628484216 0.0353803326905661 0.0499056617958323 0.0224942554746527 0.0429332407470821 0.0226587939189248 0.0433880284021706 0.000127008718291665 0.000887091166044449 0.000887687548025216 0.00125212600287194 0.000564377691458835 0.00107718894395009 0.000568505937776619 0.00108859950195553 0.223407901047412 1.56039032681662 1.5614393606809 2.20248535621089 0.9927384288475 1.89477166793171 1 1.91484280043399 0.116671666727304 0.81489212924579 0.815439972579996 1.15021732108333 0.989518130418995 0.522236081088931 1 "D"
"8" 55 "Coleoptera" "Diploids" NA "AGLAB" 104.531206 0.153945123932906 0.107290691012132 0.134721165333632 0.133680474095732 0.0977617796990325 0.047167998665117 0.0919980695591364 0.107409026130184 0.00147271929430247 0.00102639867191556 0.0012888128864947 0.00127885709168736 0.000935240139667312 0.000451233659976304 0.00088010148432743 0.00102753072733308 1.6733516765148 1.16622763419145 1.46439122015526 1.45307912151137 1.06265033785509 0.512706395809723 1 1.16751391246467 1.43326058786082 0.998898275849661 1.25428160171888 1.24459255345734 0.439143714122755 0.856520842555924 1 "D"
"9" 46 "Hymenoptera" "Hymenoptera" "pollinator/eusociality" "AMELL" 8.103582 0.084572757476531 0.0517083722944674 0.0522278257253516 0.0324011436584063 0.0184514615534429 0.00274045739210142 0.0110116364484351 0.0196433643305186 0.0104364659327852 0.00638092787787763 0.00644502958387434 0.00399837302299234 0.00227695129801153 0.000338178523040974 0.00135886037167701 0.00242403474543956 7.68030781551546 4.69579363036598 4.74296676701253 2.94244582175712 1.67563301239073 0.248869221657865 1 1.78387330734209 4.3054110311 2.63235825719179 2.65880247632574 1.64947017798101 0.139510592278928 0.56057792662976 1 "HD"
"10" 20 "Hemiptera" "Diploids" NA "APISU" 306.647247 0.740458938104805 0.415430360031844 0.340765442681372 0.415117414255968 0.467269855292614 0.257110654192059 0.439925435743006 0.46570324417676 0.00241469292598869 0.00135475000703934 0.00111126203158567 0.00135372946705753 0.00152380254466336 0.000838457402463029 0.0014346303123439 0.00151869370663797 1.68314645606753 0.944319937605355 0.77459818186198 0.943608576655408 1.06215694144492 0.584441437803694 1 1.05859585815996 1.58998020169205 0.892049529880804 0.731722286546994 0.891377544491419 0.552091181255485 0.944647565255161 1 "D"
